zip_code,nashville_region,county_name,county_fips
37012,Wilson County,Wilson,47189
37013,Southeast Nashville,Davidson,47037
37014,Williamson County,Williamson,47187
37015,Davidson Other,Davidson,47037
37016,Wilson County,Wilson,47189
37020,Rutherford County,Rutherford,47149
37022,Sumner County,Sumner,47165
37025,Williamson County,Williamson,47187
37027,Williamson County,Williamson,47187
37031,Sumner County,Sumner,47165
37037,Rutherford County,Rutherford,47149
37046,Williamson County,Williamson,47187
37048,Sumner County,Sumner,47165
37049,Sumner County,Sumner,47165
37060,Rutherford County,Rutherford,47149
37062,Williamson County,Williamson,47187
37064,Williamson County,Williamson,47187
37066,Sumner County,Sumner,47165
37067,Williamson County,Williamson,47187
37069,Williamson County,Williamson,47187
37072,North Nashville,Davidson,47037
37075,Sumner County,Sumner,47165
37076,Southeast Nashville,Davidson,47037
37080,North Nashville,Davidson,47037
37085,Rutherford County,Rutherford,47149
37086,Rutherford County,Rutherford,47149
37087,Wilson County,Wilson,47189
37090,Wilson County,Wilson,47189
37095,Wilson County,Wilson,47189
37115,North Nashville,Davidson,47037
37118,Rutherford County,Rutherford,47149
37122,Wilson County,Wilson,47189
37127,Rutherford County,Rutherford,47149
37128,Rutherford County,Rutherford,47149
37129,Rutherford County,Rutherford,47149
37130,Rutherford County,Rutherford,47149
37132,Rutherford County,Rutherford,47149
37135,Williamson County,Williamson,47187
37138,Southeast Nashville,Davidson,47037
37143,Davidson Other,Davidson,47037
37148,Sumner County,Sumner,47165
37149,Rutherford County,Rutherford,47149
37153,Rutherford County,Rutherford,47149
37167,Rutherford County,Rutherford,47149
37174,Williamson County,Williamson,47187
37179,Williamson County,Williamson,47187
37180,Rutherford County,Rutherford,47149
37184,Wilson County,Wilson,47189
37186,Sumner County,Sumner,47165
37188,Sumner County,Sumner,47165
37189,North Nashville,Davidson,47037
37201,Urban Core,Davidson,47037
37203,Urban Core,Davidson,47037
37204,Urban Core,Davidson,47037
37205,West Nashville,Davidson,47037
37206,Urban Core,Davidson,47037
37207,North Nashville,Davidson,47037
37208,Urban Core,Davidson,47037
37209,West Nashville,Davidson,47037
37210,Urban Core,Davidson,47037
37211,Southeast Nashville,Davidson,47037
37212,Urban Core,Davidson,47037
37213,Urban Core,Davidson,47037
37214,Southeast Nashville,Davidson,47037
37215,West Nashville,Davidson,47037
37216,North Nashville,Davidson,47037
37217,Southeast Nashville,Davidson,47037
37218,North Nashville,Davidson,47037
37219,Urban Core,Davidson,47037
37220,West Nashville,Davidson,47037
37221,West Nashville,Davidson,47037
37228,Urban Core,Davidson,47037
37232,Urban Core,Davidson,47037
37238,Urban Core,Davidson,47037
38401,Williamson County,Williamson,47187
38476,Williamson County,Williamson,47187
